y,ds,unique_id,index,PatchTST,PatchTST-median,PatchTST-lo-100,PatchTST-lo-90,PatchTST-hi-90,PatchTST-hi-100
249.0,2025-06-09 06:35:00,series_1,7,90.770195,90.929504,-195.93051,45.47772,137.21751,220.62009
292.0,2025-06-19 14:30:00,series_1,4,200.51768,201.47192,51.929535,176.59204,224.5746,272.34818
256.0,2025-06-19 17:50:00,series_1,8,178.67035,178.82819,106.232254,157.36217,199.89291,247.3194
284.0,2025-06-28 14:40:00,series_1,6,242.39954,242.56662,144.50656,228.29689,256.843,283.87106
100.0,2025-06-28 16:10:00,series_1,0,258.0196,257.69067,201.72408,241.59079,274.4283,323.93558
378.0,2025-07-01 17:25:00,series_1,3,252.14229,252.4505,94.78548,219.96935,286.72864,363.2605
429.0,2025-07-01 17:30:00,series_1,4,251.27025,252.53638,59.4252,218.90976,282.25604,363.89597
278.0,2025-07-02 17:30:00,series_1,3,225.76057,225.93036,178.73842,211.30093,240.69934,273.00806
311.0,2025-07-02 17:45:00,series_1,6,226.25778,226.62943,83.83992,208.95198,243.22122,281.46198
282.0,2025-07-02 18:05:00,series_1,10,224.02612,224.0102,123.69064,210.52766,237.17233,275.55524
158.0,2025-07-05 06:00:00,series_1,9,60.481316,61.021988,-330.45105,32.639854,88.4036,153.97375
295.0,2025-07-05 12:05:00,series_1,10,219.73473,220.44772,-57.56198,198.63571,243.23482,277.51874
152.0,2025-07-10 05:55:00,series_1,8,54.84678,54.810745,-154.70064,23.841232,86.84891,148.49844
196.0,2025-07-10 06:10:00,series_1,11,53.70432,53.625217,-27.752884,17.662397,88.03674,182.59177
87.0,2025-07-13 15:40:00,series_1,5,249.09566,248.59868,117.1163,218.99315,279.1573,413.28107
163.0,2025-07-14 05:50:00,series_1,7,60.14662,60.398952,-37.204502,29.059544,89.814415,149.2186
173.0,2025-07-15 06:05:00,series_1,10,67.40025,67.84555,-335.86005,26.113419,112.695694,167.1423
98.0,2025-07-15 16:50:00,series_1,7,183.5224,183.29382,128.39865,165.85974,203.21487,261.17267
95.0,2025-07-15 17:10:00,series_1,11,181.34396,181.15839,134.01353,161.6451,199.44476,254.6753
217.0,2025-07-15 17:35:00,series_1,4,102.21179,103.39798,-27.36232,73.50234,126.05096,165.03642
205.0,2025-07-15 17:45:00,series_1,6,97.12517,97.64667,-2.2254715,73.40237,118.67224,185.60168
225.0,2025-07-15 17:50:00,series_1,7,108.1611,107.68904,20.515686,86.05996,132.42712,217.18231
226.0,2025-07-15 17:55:00,series_1,8,91.496025,91.46664,-45.25119,73.9453,109.46116,175.07748
225.0,2025-07-15 18:00:00,series_1,9,105.470116,105.37073,18.07911,91.142685,120.60733,155.57819
264.0,2025-07-15 18:05:00,series_1,10,97.95901,97.70888,24.795357,80.92825,115.41764,160.2068
238.0,2025-07-15 18:10:00,series_1,11,102.30072,101.976585,64.68443,88.392815,117.744446,175.31723
362.0,2025-07-16 17:35:00,series_1,4,272.221,273.251,129.51372,247.89182,296.49918,345.43073
362.0,2025-07-16 17:55:00,series_1,8,274.58545,274.7249,187.28407,254    
284.0,2025-07-19 18:05:00,series_1,10,182.21758,181.4746,-15.053436,154.8387,210.64622,280.01953
334.0,2025-07-20 20:30:00,series_1,3,212.8104,213.29419,1.9534912,187.17667,240.80481,290.61975
365.0,2025-07-20 20:35:00,series_1,4,204.25162,205.21344,49.227844,180.60909,228.67087,283.6972
382.0,2025-07-20 20:45:00,series_1,6,206.77782,206.9621,-3.7766418,181.51698,231.00551,341.14078
420.0,2025-07-20 20:50:00,series_1,7,204.93765,205.2009,41.913574,173.60493,236.62682,300.31195
400.0,2025-07-20 20:55:00,series_1,8,211.20212,211.52252,39.860626,180.79387,242.42473,332.5132
409.0,2025-07-20 21:00:00,series_1,9,206.1878,206.35815,17.689758,170.30597,240.79445,316.34747
377.0,2025-07-20 21:05:00,series_1,10,203.18533,203.22568,-29.687195,171.56682,235.37926,332.06226
377.0,2025-07-20 21:10:00,series_1,11,208.81291,208.48232,58.494965,176.47627,241.51567,302.12088
131.0,2025-07-21 06:00:00,series_1,9,54.805782,54.99256,-118.721405,28.07084,80.58456,112.02818
352.0,2025-07-22 19:05:00,series_1,10,264.3253,264.32544,78.43933,238.33324,291.38858,347.3942
383.0,2025-07-22 19:10:00,series_1,11,263.6983,263.8924,49.942596,238.18755,290.70676,350.92053
210.0,2025-07-23 14:55:00,series_1,8,249.96129,249.85703,211.41168,237.14642,264.17078,316.11603
209.0,2025-07-23 15:00:00,series_1,9,250.06372,249.58028,217.42433,234.69931,266.45532,305.72845
165.0,2025-07-24 06:10:00,series_1,11,53.71835,53.211548,-14.574562,24.125963,83.90079,163.72342
288.0,2025-07-24 17:35:00,series_1,4,227.20584,227.52878,165.70734,215.37204,237.64992,272.66016
295.0,2025-07-24 17:45:00,series_1,6,224.04897,224.06505,128.58214,213.16536,235.11877,286.66284
281.0,2025-07-24 17:50:00,series_1,7,230.65607,230.612,170.27176,221.73076,240.9287,269.40134
277.0,2025-07-24 18:00:00,series_1,9,229.14516,229.00941,189.94089,219.74742,238.9511,259.84506
290.0,2025-07-24 18:10:00,series_1,11,229.74986,229.58147,184.68564,220.746,239.13757,279.0556
480.0,2025-07-24 18:50:00,series_1,7,288.46924,288.08026,6.83078,251.40337,325.48203,396.89258
455.0,2025-07-25 12:55:00,series_1,8,292.4176,292.96033,65.18454,259.64017,326.1157,435.49484
448.0,2025-07-25 13:05:00,series_1,10,287.51407,287.4583,120.86598,253.57057,320.45786,444.49304
357.0,2025-07-26 15:45:00,series_1,6,272.60458,273.27588,-79.97455,252.13,295.25238,325.26816
343.0,2025-07-26 15:55:00,series_1,8,271.45312,271.6341,160.33104,248.47263,297.09998,342.20947
369.0,2025-07-26 18:40:00,series_1,5,287.13525,287.38715,189.48154,265.4573,310.10245,339.6
385.0,2025-07-26 19:05:00,series_1,10,289.09882,288.7716,183.58824,267.60486,312.37445,345.13367
250.0,2025-07-27 18:05:00,series_1,10,166.01947,165.85803,15.512939,144.87068,186.94405,232.16855
297.0,2025-08-01 16:30:00,series_1,3,220.30179,220.25198,166.16902,202.6486,239.91093,277.84634
139.0,2025-08-04 06:00:00,series_1,9,48.97911,49.283585,-133.40703,17.466558,78.57435,109.09842
173.0,2025-08-04 06:05:00,series_1,10,50.628098,50.47357,-195.40707,20.587076,81.406044,145.21153
185.0,2025-08-04 06:10:00,series_1,11,50.342728,49.879257,-28.917858,16.20985,81.76978,179.27051
137.0,2025-08-06 05:55:00,series_1,8,48.50535,48.67386,-75.209,22.937096,75.9955,127.78784
132.0,2025-08-06 06:00:00,series_1,9,45.269802,45.163414,-91.95232,18.77144,71.773735,125.72598
